date,9,8,7,6,5,4,3,2,1,0
2017-04-04,"('uoff2017', 21)","('uoffer', 21)","('unitedAIRLINES', 14)","('uUnitedAirlines', 14)","('uUnitedatHispanicize', 10)","('uSocialMedia', 10)","('UnitedAirlines', 10)","('utravel', 9)","('uunitedairlines', 7)","('Hispz17', 6)"
2017-04-05,"('uUnitedAirlines', 17)","('uoff2017', 16)","('uoffer', 16)","('unitedAIRLINES', 14)","('uSocialMedia', 9)","('uunitedairlines', 9)","('UIRP', 7)","('uAirlines', 6)","('unitedairlines', 5)","('UnitedAirlines', 5)"
2017-04-06,"('uoff2017', 32)","('uoffer', 32)","('uyyz', 24)","('uUnitedAirlines', 24)","('Hispz17', 15)","('unitedAIRLINES', 14)","('UnitedatHispanicize', 13)","('UnitedAirlines', 11)","('uSocialMedia', 11)","('uUA547', 11)"
2017-04-07,"('uoff2017', 37)","('uoffer', 37)","('UnitedAirlines', 15)","('uUnitedAirlines', 15)","('utravel', 14)","('unitedAIRLINES', 9)","('uSocialMedia', 8)","('united', 7)","('neveragain', 7)","('BringmemyStella', 7)"
2017-04-08,"('uoff2017', 29)","('uoffer', 29)","('unitedAIRLINES', 16)","('UnitedAirlines', 13)","('uunitedairlines', 13)","('uAirlines', 12)","('unitedairlines', 11)","('travel', 8)","('utravel', 7)","('fail', 6)"
2017-04-09,"('uoff2017', 33)","('uoffer', 33)","('UnitedAirlines', 15)","('unitedAIRLINES', 9)","('uunitedairlines', 9)","('travel', 8)","('united', 7)","('utravel', 7)","('stroopwafel', 4)","('uUnitedAirlines', 4)"
2017-04-10,"('unitedAIRLINES', 330)","('UnitedAirlines', 130)","('United', 128)","('uunitedAIRLINES', 125)","('united', 124)","('uUnitedAirlines', 94)","('boycottunited', 69)","('flight3411', 56)","('BoycottUnitedAirlines', 53)","('BoycottUnited', 48)"
2017-04-11,"('unitedAIRLINES', 505)","('UnitedAirlines', 492)","('uUnitedAirlines', 306)","('uunitedAIRLINES', 223)","('uBoycottUnitedAirlines', 171)","('BoycottUnitedAirlines', 130)","('uunitedairlines', 112)","('NewUnitedAirlinesMottos', 85)","('ucnnbrk', 72)","('united', 69)"
2017-04-12,"('unitedAIRLINES', 429)","('UnitedAirlines', 360)","('uUnitedAirlines', 346)","('uunitedAIRLINES', 185)","('uunitedairlines', 174)","('uBoycottUnited', 120)","('BoycottUnitedAirlines', 73)","('united', 65)","('unitedairlines', 63)","('uUnited', 63)"
2017-04-13,"('uUnitedAirlines', 418)","('unitedAIRLINES', 341)","('UnitedAirlines', 292)","('uunitedAIRLINES', 183)","('uunitedairlines', 104)","('uBoycottUnitedAirlines', 99)","('united', 76)","('uUnited', 64)","('UnitedAirlinesAssault', 57)","('uunited', 53)"
